NAME,DESCRIPTION,Name_cluster,Desc_cluster,
SAP ERP Controlling,"Represents the company's flow of cost and revenue. It is a management instrument for organizational decisions. It too is automatically updated as events occur. The CO module has following sub modules: CO-OM Overhead Costing (Cost Centers, Activity Based Costing, Internal Order Costing), CO-PA Profitability Analysis, CO-PC Product Cost Controlling",115,0,
SAP Financial - Account Payable,Processing vendor master data. Carrying out invoice verification (optional). Creating and checking payment proposals. Executing payment runs.,115,0,
SAP Financial - Account Receivable,Editing customer master data. Entering customer invoices. Entering incoming payments. Creating customer payment advice notes and using them for clearing. Settling payment cards. Executing the dunning run.,115,,
SAP Financial - Fixed Assets,Capabilities are: - create / change master records; - divestiture handling; - asset sales to third party; - handling of assets reserves; - reversals of assets retirements; - handling of assets traded-in; - asset transfer between companies & countries; - settlement of AUC assets; - standardization of asset reports.,115,,
SAP Financial - General Ledger,"The general ledger is a collection of the group of accounts that supports the items shown in the major financial statements. It is built up by posting transactions recorded in the sales daybook, purchases daybook, cash book and general journals daybook. The general ledger can be supported by one or more subsidiary ledgers that provide details for accounts in the general ledger. There are seven basic categories all accounts are grouped: Assets, Liability, Owner's equity, Revenue, Expense, Gains, Losses",115,,N/A
SAP Financial - Special Ledger,Special Purpose Ledger is used to define ledgers for reporting purposes. Data can be gathered from internal and external applications.,115,1,N/A
SAP for Insurance,"SAP for Insurance solutions provide the advanced claims financials, policy, billing and payments management capabilities",115,,N/A
SAP FS - Business Partner,"The component SAP Business Partner enables you to create and manage business partners centrally. This is of prime interest if a business partner plays different roles for a company, such as contract partner and prospect.",115,,
SAP GRC Access Control v10.0,"The SAP GRC Access Control tool will enable Allstate to manage access and related regulatory risk with assurance across the SAP systems. This tool comprises of four distinct components, these components are: ARA (Access Risk Analysis), EAM (Emergency Access Management), BRM (Business Role Management), and ATM (Access Request Management).",115,,
SAP GRC Process Control v10.0,The application is part of the SAP GRC suite and is used to automate the most time-consuming tasks related to Sarbanes-Oxley compliance: controls assessment.,,2,
SAP Host Controls,"This CI comprises two software modules - SAP Operating System Performance Collector (SAPOsCol) and SAP Computing Center Management System (CCMS). The operating system collector SAPOSCOL is a stand-alone program that runs in the operating system background. It runs independently of SAP instances exactly once per monitored host. SAPOSCOL collects data about operating system resources, including: Usage of virtual and physical memory, CPU utilization,",,2,N/A
SAP Invoice Management by OpenText,"OpenText is a tightly integrated tightly add on toh SAP FICO that manages invoice validation, correction, and approval business processing. SAP recommends this as their Invoice Management solution.",,,
SAP ISA INTERNET SALES APPLICATION,"SAP Solution for Online Ordering of Allstate Marketing Collateral (i.e. printed brochures, forms)",,2,
SAP NetWeaver Business Client (NWBC) v4.0,The NetWeaver Business Client (NWBC) 4.0 is included into the SAP Enterprise license. NWBC provides flexible and modern looking user interface vs. SAP GUI.,,,N/A
SAP NetWeaver Portal for Sourcing and Procurement,"This is a separate installation of SAP NetWeaver Portal for SAP SRM and CLM applications. SRM Procure to pay performs the operational activities of procurement, including self-service. It integrates catalog-based requisitioning with traditional procure-to-pay process. Catalog management is integrated repositories manage catalog data as master data in a repository. Centralized contract management ensures optimal contract selection and pricing and track compliance and savings realization.",,2,
SAP Solution Manager,"SAP tool to manage, support and monitor SAP solutions",,2,
SAP Sourcing - Contract Lifecycle Management,Contract Lifecycle Management (CLM) enables Allstate procurement to collaboratively author contracts with internal stakeholders (e.g. legal) and external suppliers.,,2,
SAP Sourcing - Project Management,"SAP Sourcing offers a Project Management tool which provides a framework to model sourcing projects. The project management tool is extremely template driven so that organizations can create various templates that model either different sourcing category requirements or for example different sourcing projects depending on the value of the sourcing project. This template driven approach ensures a sourcing project that is consistent, efficient, repeatable, enforceable and auditable.",,,
SAP SuccessFactors BizX Suite,"SAP SuccessFactors cloud solution provides provides HR capabilities such as Talent management (Performance and Goals), Compensation, Succession and Development, Workforce Analytics and Planning, Learning (LMS). The Allstate servers are content servers hosted by Allstate that supported portions of functionality externally hosted by the vended application. They are a tactical solution supporting a small portion of functionality delivered.",,2,N/A
